,Image,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
331,MB16CC013,5,7,0,4,0,0,2,2,0
332,MB16CC013,5,7,0,1,1,0,2,2,1
333,MB16CC013,7,0,4,4,0,0,2,2,0
334,MB16CC013,5,7,0,1,1,0,2,2,1
335,MB16CC013,1,3,2,1,1,0,0,2,1
336,MB16CC013,5,7,0,1,1,0,2,2,1
337,MB16CC013,5,7,0,4,0,0,2,2,0
338,MB16CC013,5,7,0,1,1,0,2,2,1
339,MB16CC013,5,7,2,1,1,0,2,2,1
340,MB16CC013,5,7,0,1,1,0,2,2,1
341,MB16CC013,1,3,2,1,1,0,0,2,1
342,MB16CC013,0,2,0,6,1,0,2,2,1
343,MB16CC013,1,7,2,4,0,0,0,2,1
344,MB16CC013,5,7,2,1,1,0,2,2,1
345,MB16CC013,5,7,0,4,1,0,2,2,1
346,MB16CC013,7,0,2,4,0,0,2,2,1
347,MB16CC013,5,7,2,1,1,0,2,2,1
348,MB16CC013,5,7,0,4,0,0,2,2,1
349,MB16CC013,5,7,2,1,1,0,2,2,1
350,MB16CC013,5,7,2,1,1,0,2,2,1
351,MB16CC013,5,7,0,1,1,0,2,2,1
352,MB16CC013,5,7,2,1,1,0,2,2,1
353,MB16CC013,5,2,0,6,1,0,2,1,1
354,MB16CC013,5,7,2,1,1,0,2,2,1
355,MB16CC014,0,2,0,6,1,0,2,2,1
356,MB16CC014,5,7,2,1,1,0,2,2,1
357,MB16CC014,5,7,2,1,1,0,2,2,1
358,MB16CC014,5,7,0,1,1,0,2,2,1
359,MB16CC014,5,7,2,4,0,0,2,2,1
360,MB16CC014,5,7,0,4,1,0,2,2,1
361,MB16CC014,5,7,2,1,1,0,2,2,1
362,MB16CC014,1,7,2,1,1,0,2,2,1
363,MB16CC014,5,7,2,1,1,0,2,2,1
364,MB16CC014,5,7,0,1,1,0,2,2,1
365,MB16CC014,1,3,2,1,1,0,0,2,1
366,MB16CC014,0,2,0,6,1,0,2,2,1
367,MB16CC014,0,2,0,6,1,2,2,2,0
